기간,국가별,한국여행중 서울방문,서울 내 방문지,서울 내 방문지,서울 내 방문지,서울 내 방문지,서울 내 방문지,서울 내 방문지,서울 내 방문지,서울 내 방문지,서울 내 방문지,서울 내 방문지,서울 내 방문지
기간,국가별,한국여행중 서울방문,명동/남대문/북창,동대문 패션타운,종로/청계,신촌/홍대주변,강남역,이태원,잠실(롯데월드),코엑스,광화문광장,한강/유람선,가로수길
2018,전체,79.4,88.2,61,37.6,35.6,27.8,23.8,22.4,12.4,11.5,10.9,9.5
2018,일본,73,85.5,52.4,28.6,37.3,25.2,23.3,11.6,9.6,4.8,4.5,17.6
2018,중국,79.1,94.9,70.5,20.5,27.4,19.2,12.3,23.9,8,11.4,10.1,9.9
2018,홍콩,85.1,92.4,64.4,38.3,60.1,27.4,18.2,18.2,13.6,9.6,8.2,7.3
2018,싱가포르,91,93,61.1,60.4,51.5,41.6,38.7,29.7,15.6,11.1,11.9,10.5
2018,대만,75.3,94,74.3,44.7,49.7,15.2,18.8,24.2,9.3,19.9,9.1,4.7
2018,태국,84.5,94.2,64.3,49,61.6,36.4,32.5,24.7,14.9,13.5,12.2,10.5
2018,말레이시아,79.3,97,79,59.9,38.8,30.4,57.8,29.2,17.1,14.3,18,6
2018,호주,87.5,72.9,38.2,62.3,36.8,47.2,33.4,30.3,20.7,13.5,11.9,6.3
2018,미국,83.5,68.5,33.6,56.7,30,43.1,42,26.7,18.7,14.6,16.1,4.6
2018,캐나다,85,80.1,41.6,63.2,38.6,45.7,36.4,23.8,22.5,13.6,16.7,3.5
2018,영국,81,66.4,40.3,59.9,36,50,33.3,25.3,22.3,14.1,14.3,5.6
2018,독일,74.3,66.3,34.3,52.2,33.8,44,35.8,27.8,21.6,14,21,6.7
2018,프랑스,89.1,78.5,47.9,64.5,50.5,53.9,46,30.7,29,20.1,23.5,10.1
2018,러시아,75.8,78.2,50,42.5,29,39.9,33.6,29.8,17,16.6,14.1,5
2018,중동,85.5,74.6,54.3,43,30.2,41.7,38.4,29.4,17.5,11.3,14.2,4.7
2018,인도,75.8,66.6,29.7,44.9,16.3,40.2,36.1,23.9,21.2,9.9,16.6,1.2
2018,필리핀,85.9,95.9,66.6,67.5,35.2,38.8,30,30.9,18.3,15.9,14.6,4.7
2018,인도네시아,91,94.8,75.2,59.6,31.9,36.2,34.2,28.8,19.7,13.4,22.3,8.9
2018,베트남,82.7,92.3,67.6,62.5,25.1,27.1,26.1,22.5,11.4,9.1,15.1,3.6
2018,몽골,89.4,77.9,78.9,24.6,15.7,31.8,27.9,25.6,10.2,7.7,12.6,2.3
2018,기타,82.3,72.7,44.6,61.5,32.4,44.8,33.2,24.3,24.7,16.1,18.3,7.9
